BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster,pc1,pc2,segment
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0,-0.5512860268418673,-2.54501188319151,Marginal Spenders
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,2,-2.94891344651968,1.237305171514687,Revolving Debtors
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,1,1.351828755019546,1.2299868150461202,Power Transactors
1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,0,-1.2172763584402622,-1.0949764576243188,Marginal Spenders
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,2,-1.2643953133586177,-1.0747011733655636,Revolving Debtors
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1,0.8765939563420664,0.3060548759423292,Power Transactors
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,1,4.9717077427627405,1.5136731253414113,Power Transactors
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,1,1.421670260137025,-0.15486081662624718,Power Transactors
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,1,0.7552205970604563,0.09542941025289854,Power Transactors
152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0,0.08474397606766677,-1.0903027475394587,Marginal Spenders
1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,1,1.4887879311495598,0.14316035426761653,Power Transactors
630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,0,0.07615696085665065,-0.780636532442562,Marginal Spenders
1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,1,2.8078755844415206,0.5297500155165492,Power Transactors
921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,1,2.3645621264603798,0.5334387885618261,Power Transactors
2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,2,-2.6926557269073417,0.23516532331644766,Revolving Debtors
6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,1,-0.13637419297782336,2.0735376293499055,Power Transactors
2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,2,-3.3109091525229557,-0.23152247860120526,Revolving Debtors
41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,0,0.6265285888238918,-2.8447791778000964,Marginal Spenders
1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,1,1.307504901158982,0.9287014848194275,Power Transactors
3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,1,1.2091560911574157,1.2603752505004344,Power Transactors
2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,1,0.23214643364867396,0.48229625774908447,Power Transactors
6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,1,3.152585371807225,4.187374552114672,Power Transactors
132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,0,1.8751185704300957,-1.5739817430303384,Marginal Spenders
3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,1,1.0011835842356538,3.3356746012932184,Power Transactors
5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,2,-3.2244038381132394,1.4029820398111545,Revolving Debtors
169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,0,1.5637988889853736,-1.2054499946650912,Marginal Spenders
1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,2,-1.720029215085055,0.9051219024968936,Revolving Debtors
125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12,0,1.3487499726568355,-1.6342463671887508,Marginal Spenders
7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,2,-1.1190640610767497,3.8755263427103523,Revolving Debtors
22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,0,0.23014199772154123,-1.7327884612087383,Marginal Spenders
12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,1,1.5703234350832007,4.510856070322502,Power Transactors
1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,1,2.0208784266009228,1.237170478824294,Power Transactors
6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,2,-1.5408222053605942,2.1694710798787575,Revolving Debtors
125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,1,1.3919916223387148,-0.6741354847179312,Power Transactors
3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,1,1.437226781924889,1.758402727753255,Power Transactors
1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,2,-2.6212901961148325,-0.43635240930277036,Revolving Debtors
7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,2,-4.054043109461197,2.68635793718726,Revolving Debtors
4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,1,1.3286040623821367,3.105367428764933,Power Transactors
6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,2,-2.1905032202436465,2.6055404040889756,Revolving Debtors
1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,2,-1.3216798598337014,1.52220885674757,Revolving Debtors
663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,2,-2.888893902171524,-0.329435313484138,Revolving Debtors
784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,1,0.6186623676913463,1.6628361959453135,Power Transactors
4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,2,-0.8501736417818924,0.5975647199466656,Revolving Debtors
1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,2,-2.7951073750446813,-0.5351875568253857,Revolving Debtors
5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,1,2.5443237395933056,1.6263528897777946,Power Transactors
2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,312.343947,0.0,12,0,-0.510559847392042,-0.7478071107836683,Marginal Spenders
474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,0,-1.2590441233960254,-1.733526880533691,Marginal Spenders
3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,312.343947,0.0,12,2,-3.778384222734554,-0.2900844010480731,Revolving Debtors
229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,1,4.581680290301667,0.5200554527462087,Power Transactors
863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,2,-0.9515820408342016,0.3798364124438984,Revolving Debtors
4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,2,-1.6823704646627984,4.968259852666118,Revolving Debtors
1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,1,2.13795065675924,1.0464248969417893,Power Transactors
1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,2,-2.877211443203755,0.27588840497163986,Revolving Debtors
464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,1,0.28875424988926757,0.5259377274186918,Power Transactors
6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,312.343947,0.0,12,0,0.8258656051986732,-2.52249226297608,Marginal Spenders
1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,312.343947,0.0,12,0,-0.2619108565407292,-1.1205750857886043,Marginal Spenders
3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,312.343947,0.0,12,2,-1.848579181863668,0.14767690108669204,Revolving Debtors
2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,1,3.173030059532913,2.306996710483301,Power Transactors
3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.938728,1600.212243,0.0,11,2,-2.9175862796049246,0.6740058044191678,Revolving Debtors
5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.02617,0.0,12,2,-1.0379324808427586,1.942167822548543,Revolving Debtors
1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.105836,0.0,12,2,-0.6239361609524444,0.08810481984491797,Revolving Debtors
1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,2,-1.1149323330437588,-0.4654762756655065,Revolving Debtors
809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148648,241.645387,0.090909,11,2,-3.359649732728576,0.8181456209267001,Revolving Debtors
7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,312.343947,0.0,12,0,-0.7356762256986341,-4.106952415064875,Marginal Spenders
